,,"Смарт Органик АД",,,,,,,,,,,
,,"За поръчки: order@smartorganic.eu",,,,,,,,,,,
,,"Телефон за поръчки: 0877 533  005",,,,,,,,,,,
,,"Търговски отдел 0877 05 32 11  / 0895 549 914 / 0895 549 917",,,,,,,,,,,
,,www.zelenbio.com,,,,"Сума с ДДС:","0,00",,,,,,
"Арт. №",Тип,Продукт,Инфо,,,Марка,Баркод,"Доставна цена без ДДС","Доставна цена с ДДС","Поръчка (бр.)","Промяна в цена (+/-)","Препоръчителна продажна цена с ДДС",
,,"НОВИ АРТИКУЛИ – Само този месец 10% отстъпка",,,,,,,,,,,
NP0359,К,"Комбуча Канела 500ml","Виж тук",http://zelenbio.com/product/3609/kombucha-kanela-i-chereshi.html,,"Kombucha Life",3800228940433,"2,05","2,46",,,"*Вмесо 10% отстъпка , при първоначално зареждане на 12 бр. Ще получите 6 бр. Подарък",,"КОМБУЧА КАНЕЛА И ЧЕРЕШИ",http://zelenbio.com/userfiles/productimages/product_5207.jpg,"<div class=""tab-content"" id=""product-detailed-description""><p>Класическа комбуча с пръчиции канела и череши за&nbsp;незабравимия вкус на домашен уют, лято, свежест и здраве. Комбуча Лайф с канела и череши е&nbsp;100% натурална и сурова. Изсушените плодове от череша я правят малко по-складка от останалите видове, а канелата леко притъпява характерния „джибрен” вкус на освежаващата напитка.</p>    <p>&nbsp;</p>    <p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<img alt="""" src=""/userfiles/editor/image/8f815388-f2a2-4ad1-9a6b-0fa311bd0945.jpg"" style=""width: 193px; height: 150px;"" /></p>    <p>&nbsp;</p>    <p><u><em><strong>Състав: </strong></em></u></p>    <p>инфузия от плодове на череша 2%, канела на пръчици 2%, листа от зелен чай 2%, филтрирана вода, захар и комбуча култура.&nbsp;</p>    <p>Алокол до 1,2%</p>    <p>&nbsp;</p>    <p style=""outline: none; margin: 0px 0px 0.5em; padding: 0px; font-size: 12px; color: rgb(41, 41, 41); font-family: 'Trebuchet MS', Tahoma, Arial, Helvetica, sans-serif;""><em style=""outline: none; margin: 0px; padding: 0px;""><strong style=""outline: none; margin: 0px; padding: 0px;""><u style=""outline: none; margin: 0px; padding: 0px;"">Хранителна стойност на 100мл</u></strong></em></p>    <table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""outline: none; margin: 0px; padding: 0px; font-size: 12px; border-collapse: collapse; border-spacing: 0px; color: rgb(41, 41, 41); font-family: 'Trebuchet MS', Tahoma, Arial, Helvetica, sans-serif; width: 300px;"">  	<tbody style=""outline: none; margin: 0px; padding: 0px;"">  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Енергия, калории</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">86kJ/ 21kcal</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Протеини</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">0,11g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Въглехидрати</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">4,6g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">- от които захари</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">4,31g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Мазнини</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">0,20g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">- от които ненаситени</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">  			<p style=""outline: none; margin: 0px 0px 0.5em; padding: 0px;"">0,12g</p>  			</td>  		</tr>  		<tr>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Сол</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">0,06g</td>  		</tr>  	</tbody>  </table>   </div>","Естествено газирана, здравословна напитка с освежаващ вкус!",http://zelenbio.com/userfiles/brand/image_265a903e67e3774bc87c1ee433b84a34.jpg
NP0426,К,"Комбуча Канела 330ml","виж тук",http://zelenbio.com/productv/63/kombucha-kanela-i-chereshi.html,,"Kombucha Life",3800228940426,"1,35","1,62",,,"*Вмесо 10% отстъпка , при първоначално зареждане на 12 бр. Ще получите 6 бр. Подарък",,"КОМБУЧА КАНЕЛА И ЧЕРЕШИ",http://zelenbio.com/userfiles/productimages/product_5207.jpg,"<div class=""tab-content"" id=""product-detailed-description""><p>Класическа комбуча с пръчиции канела и череши за&nbsp;незабравимия вкус на домашен уют, лято, свежест и здраве. Комбуча Лайф с канела и череши е&nbsp;100% натурална и сурова. Изсушените плодове от череша я правят малко по-складка от останалите видове, а канелата леко притъпява характерния „джибрен” вкус на освежаващата напитка.</p>    <p>&nbsp;</p>    <p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<img alt="""" src=""/userfiles/editor/image/8f815388-f2a2-4ad1-9a6b-0fa311bd0945.jpg"" style=""width: 193px; height: 150px;"" /></p>    <p>&nbsp;</p>    <p><u><em><strong>Състав: </strong></em></u></p>    <p>инфузия от плодове на череша 2%, канела на пръчици 2%, листа от зелен чай 2%, филтрирана вода, захар и комбуча култура.&nbsp;</p>    <p>Алокол до 1,2%</p>    <p>&nbsp;</p>    <p style=""outline: none; margin: 0px 0px 0.5em; padding: 0px; font-size: 12px; color: rgb(41, 41, 41); font-family: 'Trebuchet MS', Tahoma, Arial, Helvetica, sans-serif;""><em style=""outline: none; margin: 0px; padding: 0px;""><strong style=""outline: none; margin: 0px; padding: 0px;""><u style=""outline: none; margin: 0px; padding: 0px;"">Хранителна стойност на 100мл</u></strong></em></p>    <table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""outline: none; margin: 0px; padding: 0px; font-size: 12px; border-collapse: collapse; border-spacing: 0px; color: rgb(41, 41, 41); font-family: 'Trebuchet MS', Tahoma, Arial, Helvetica, sans-serif; width: 300px;"">  	<tbody style=""outline: none; margin: 0px; padding: 0px;"">  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Енергия, калории</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">86kJ/ 21kcal</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Протеини</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">0,11g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Въглехидрати</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">4,6g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">- от които захари</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">4,31g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Мазнини</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">0,20g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">- от които ненаситени</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">  			<p style=""outline: none; margin: 0px 0px 0.5em; padding: 0px;"">0,12g</p>  			</td>  		</tr>  		<tr>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Сол</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">0,06g</td>  		</tr>  	</tbody>  </table>   </div>","Естествено газирана, здравословна напитка с освежаващ вкус!",http://zelenbio.com/userfiles/brand/image_265a903e67e3774bc87c1ee433b84a34.jpg
BK5440,БИО,"Ванилия бурбонска на прах 15g ","Виж тук",http://zelenbio.com/product/3457/bio-vanilia-na-prah.html,,"Био класа",3800225475440,"14,99","17,99",,,,,"Био ванилия на прах",http://zelenbio.com/userfiles/productimages/product_4927.jpg,"<div class=""tab-content"" id=""product-detailed-description""><p style=""outline: none; margin: 0px 0px 0.5em; padding: 0px; font-size: 12px; color: rgb(41, 41, 41); font-family: 'Trebuchet MS', Tahoma, Arial, Helvetica, sans-serif;""><em style=""outline: none; margin: 0px; padding: 0px;""><strong style=""outline: none; margin: 0px; padding: 0px;""><u style=""outline: none; margin: 0px; padding: 0px;"">Хранителна стойност на 100г</u></strong></em></p>    <table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""outline: none; margin: 0px; padding: 0px; font-size: 12px; border-collapse: collapse; border-spacing: 0px; color: rgb(41, 41, 41); font-family: 'Trebuchet MS', Tahoma, Arial, Helvetica, sans-serif; width: 300px;"">  	<tbody style=""outline: none; margin: 0px; padding: 0px;"">  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Енергия&nbsp;</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">313kcal</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Мазнини&nbsp;</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">12,5g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">- от които ненаситени</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">1,3g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Въглехидрати</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">20,8g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">- от които захари</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">5,8g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Фибри</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">41,2g</td>  		</tr>  		<tr style=""outline: none; margin: 0px; padding: 0px;"">  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top;"">Протеини</td>  			<td style=""outline: none; margin: 0px; padding: 0px; vertical-align: top; text-align: right;"">8,8g</td>  		</tr>  	</tbody>  </table>    <p>&nbsp;</p>    <p>Произход: Мадагаскар</p>   </div>",,http://zelenbio.com/userfiles/brand/image_fcbe47b8237a627fc369abcee0043c68.jpg
BK6768,БИО,"Тиквено семе 100g",,,,"Био класа",3800225476768,"2,19","2,63",,,,
Yo2904,БИО,"Чай Коледен 17 пак","Виж тук",http://zelenbio.com/product/3606/koleden-chay-bio-17pak.html,,"Yogi Tea",4012824402904,"4,46","5,35",,,,,"КОЛЕДЕН ЧАЙ , БИО, 17пак.",http://zelenbio.com/userfiles/productimages/product_5203.jpg,"<div class=""tab-content"" id=""product-detailed-description""><p>Аюрведична комбинация от билки и подправки, като канела, портокал, ванилия, звездовиден анасон и карамфил,&nbsp;със завладяващ Коледен аромат ще допълни празничния дух и уют. Редица от ароматните съставки подбрани от Мадагаскар, където за съжаление голяма част от уникалната флора и фауна е унищожена, в следствие от изсичането на горите. Тъй като YOGI TEA® споделяме отговорността за земята на своите производители, които отглеждат и култивират съставките на своите чайове, подпомага&nbsp;""Природния фонд"" на острова, който работи за запазване на тропическите гори и съответно територията на редица животински видове, които я обитават, като например лемурите.</p>  <p style=""text-align: center;""><img alt="""" src=""/userfiles/editor/image/Xmas-Blend_Tree-495x570.png"" style=""width: 217px; height: 250px;"" /></p>  <p><u><em><strong>Състав:</strong></em></u>&nbsp;ройбос*, канела*, лакриц*, кориандър*, джинджифил*, черен пипер*, карамфил*, портокалова кора*, кардамон*, анасон*, звезден анасон*, екстракт ванилия*, печена цикория*, портокалова масло*, масло от канела*.</p>  <p>*съставки от биологично производство</p>  <p>&nbsp;</p>  <p>&nbsp;17 x 2,2g = 37,4&nbsp;g</p>  </div>","Чаша топлина и Коледно настроение за всички сетива!",http://zelenbio.com/userfiles/manufacturer/image_54887c9a943cf1c98dbbece8c29d1c55.jpg
,,,,,,,,,,,,,
,,"Месечни промоции – Декември",,,,,,,,,,,
GK4290,К,"Киноа (Конв.) 250g","Виж тук",http://zelenbio.com/product/3541/kinoa-250g.html,,"Гурме Класа",3800225474290,"2,58","3,10",,-,,,"КИНОА, 250g",http://zelenbio.com/userfiles/productimages/product_5105.jpg,"<div class=""tab-content"" id=""product-detailed-description""><p>&nbsp; Историята на Киноата започва от Андите в Южна Америка. Била е основна храна в Имерията на Инките. Киноата е храна, която може да оцелее при най-различни условия. Тази адаптация на културата позволила на инките да я използват за храна стотици години. В наши дни Перу продължава да бъде най-големия производител на киноа в света. Интересът към киноата постепенно се разпространява в Индия и други части на Азия (включително Япония), а също така и в Африка и някои части от Европа. Агрикултурната организация на Обединените Нации сочи се, че 2013 е „Международната година на Киноа”.</p>    <p>&nbsp;&nbsp;Киноата има голяма хранителна стойност. Смята се за богат източник на протеин, благодарение на съдържащото се солидното количество лизин и изолевцин. Източник е и на есенциални мастни киселини или мононенаситени мазнини (като олеиновата киселина). Също така, киноата е добър източник на вит. Е. Има голяма концентрация на калций и други минерали, както и богатство от антиоксиданти (кверсетин и кемпферол).</p>    <p>&nbsp; Има противовъзпалително и антиоксидантно действие, намалява риска от алергии. Използва се при диабетици, като намалява и риска от появата на диабет. Ключът е високото съдържанието на фибри и протеини, нужни за поддържането на нормални стойности на кръвната захар. Киноата е впечатляваща и уникална храна, сред другите зърнени култури, с изобилието си от фитовещества и положителните им ефекти.</p>    <p>&nbsp;</p>    <p><u><em><strong>Препоръчителна употреба:</strong></em></u></p>    <p>преди употреба зърната трябва да се измият добре под течаща вода. Вари се като ориза - залива се с вода в съотношение 1:2 и след като водата&nbsp;кипне, се оставя на слаб огън 15-20 минути.</p>    <p>&nbsp;</p>    <p><u><em><strong>Хранителна стойност за 100g:</strong></em></u></p>    <p>&nbsp;</p>    <table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width: 320px;"">  	<tbody>  		<tr>  			<td>Енергийна стойност (kJ/kcal)</td>  			<td style=""text-align: right;"">1559/380</td>  		</tr>  		<tr>  			<td>Мазнини (g)</td>  			<td style=""text-align: right;"">6</td>  		</tr>  		<tr>  			<td>- от които наситени мастни киселини (g)</td>  			<td style=""text-align: right;"">1</td>  		</tr>  		<tr>  			<td>Въглехидрати (g)</td>  			<td style=""text-align: right;"">64</td>  		</tr>  		<tr>  			<td>- от които захари (g)</td>  			<td style=""text-align: right;"">0</td>  		</tr>  		<tr>  			<td>Белтъци (g)</td>  			<td style=""text-align: right;"">14</td>  		</tr>  		<tr>  			<td>Влакнини (g)</td>  			<td style=""text-align: right;"">7</td>  		</tr>  		<tr>  			<td>Сол (g)</td>  			<td style=""text-align: right;"">0.012</td>  		</tr>  	</tbody>  </table>    <p>&nbsp;</p>    <p><u><em><strong>Произход:</strong></em></u>&nbsp;Перу</p>    <p><br />  <u><em><strong>Съхранение на продукта:</strong></em></u>&nbsp;на сухо и прохладно място.</p>    <p>&nbsp;</p>    <p>&nbsp;</p>    <p>&nbsp;</p>   </div>",,http://zelenbio.com/userfiles/manufacturer/image_4cf2b035db452110459ef2a7ee5c731f.jpg
GK3552,К,"Киноа (Конв.) 500g","Виж тук",http://zelenbio.com/product/3519/kinoa-500g.html,,"Гурме Класа",3800225473552,"4,84","5,81",,-,,,"КИНОА, 500g",http://zelenbio.com/userfiles/productimages/product_5028.jpg,"<div class=""tab-content"" id=""product-detailed-description""><p>&nbsp; Историята на Киноата започва от Андите в Южна Америка. Била е основна храна в Имерията на Инките. Киноата е храна, която може да оцелее при най-различни условия. Тази адаптация на културата позволила на инките да я използват за храна стотици години. В наши дни Перу продължава да бъде най-големия производител на киноа в света. Интересът към киноата постепенно се разпространява в Индия и други части на Азия (включително Япония), а също така и в Африка и някои части от Европа. Агрикултурната организация на Обединените Нации сочи се, че 2013 е „Международната година на Киноа”.</p>    <p>&nbsp;&nbsp;Киноата има голяма хранителна стойност. Смята се за богат източник на протеин, благодарение на съдържащото се солидното количество лизин и изолевцин. Източник е и на есенциални мастни киселини или мононенаситени мазнини (като олеиновата киселина). Също така, киноата е добър източник на вит. Е. Има голяма концентрация на калций и други минерали, както и богатство от антиоксиданти (кверсетин и кемпферол).</p>    <p>&nbsp; Има противовъзпалително и антиоксидантно действие, намалява риска от алергии. Използва се при диабетици, като намалява и риска от появата на диабет. Ключът е високото съдържанието на фибри и протеини, нужни за поддържането на нормални стойности на кръвната захар. Киноата е впечатляваща и уникална храна, сред другите зърнени култури, с изобилието си от фитовещества и положителните им ефекти.</p>    <p>&nbsp;</p>    <p><u><em><strong>Препоръчителна употреба:</strong></em></u></p>    <p>преди употреба зърната трябва да се измият добре под течаща вода. Вари се като ориза - залива се с вода в съотношение 1:2 и след като водата&nbsp;кипне, се оставя на слаб огън 15-20 минути.</p>    <p>&nbsp;</p>    <p><u><em><strong>Хранителна стойност за 100g:</strong></em></u></p>    <p>&nbsp;</p>    <table border=""0"" cellpadding=""1"" cellspacing=""1"" style=""width: 320px;"">  	<tbody>  		<tr>  			<td>Енергийна стойност (kcal)</td>  			<td style=""text-align: right;"">356</td>  		</tr>  		<tr>  			<td>Мазнини (g)</td>  			<td style=""text-align: right;"">7,1</td>  		</tr>  		<tr>  			<td>- от които наситени мастни киселини (g)</td>  			<td style=""text-align: right;"">0,96</td>  		</tr>  		<tr>  			<td>Въглехидрати (g)</td>  			<td style=""text-align: right;"">55,70</td>  		</tr>  		<tr>  			<td>- от които захари (g)</td>  			<td style=""text-align: right;"">3,5</td>  		</tr>  		<tr>  			<td>Белтъци (g)</td>  			<td style=""text-align: right;"">13,7</td>  		</tr>  		<tr>  			<td>Сол (g)</td>  			<td style=""text-align: right;"">следи</td>  		</tr>  	</tbody>  </table>    <p>&nbsp;</p>    <p><u><em><strong>Произход:</strong></em></u> Боливия</p>    <p><br />  <u><em><strong>Съхранение на продукта:</strong></em></u>&nbsp;на сухо и прохладно място.</p>    <p>&nbsp;</p>    <p>&nbsp;</p>    <p>&nbsp;</p>   </div>",,http://zelenbio.com/userfiles/manufacturer/image_4cf2b035db452110459ef2a7ee5c731f.jpg
BK4160,БИО,"Брашно от лимец пълнозърнесто БЪЛГАРСКО 1kg ","виж тук",http://zelenbio.com/product/3273/bio-brashno-ot-limets-1kg.html,,"Био класа",3800225474160,"5,12","6,14",,-,,,"Био брашно от лимец, 1кг",http://zelenbio.com/userfiles/productimages/product_4561.jpg,"<div class=""tab-content"" id=""product-detailed-description""><p>Лимецът е древна култура и се счита за предшественик на пшеницата. За разлика от нея лимецът е много по-богат на хранителни вещества- съдържа повече протеини, есенциални мастни киселини, фосфор, калий, витамин В6, лутеин и бета-каротини. Брашното от лимец се усвоява лесно и съдържа необходимите полезни вещества. Подходящо е за приготвяне на хляб, бисквити, кексове, каши и други.</p>    <p><u>Средна хранителна стойност на 100г.</u></p>    <table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width: 200px;"">  	<tbody>  		<tr>  			<td>Енергия</td>  			<td style=""text-align: right;"">333kcal</td>  		</tr>  		<tr>  			<td>Протеини</td>  			<td style=""text-align: right;"">15g</td>  		</tr>  		<tr>  			<td>Мазнини</td>  			<td style=""text-align: right;"">3g</td>  		</tr>  		<tr>  			<td>от които наситени</td>  			<td style=""text-align: right;"">0g</td>  		</tr>  		<tr>  			<td>Въглехидрати</td>  			<td style=""text-align: right;"">63g</td>  		</tr>  		<tr>  			<td>от които захари</td>  			<td style=""text-align: right;"">0g</td>  		</tr>  		<tr>  			<td>Сол</td>  			<td style=""text-align: right;"">0g</td>  		</tr>  	</tbody>  </table>    <p>&nbsp;</p>   </div>",,http://zelenbio.com/userfiles/brand/image_fcbe47b8237a627fc369abcee0043c68.jpg
